Owner,Ticker,Relationship,Date,Transaction Type,Cost per Share,Number of Shares,Value of Transaction in $,Total Number of Shares Outstanding,SEC filing date
Chang John B.,CCOI,Chief Legal Officer,Jan 17,Sale,66.00,"1,000","66,000","50,360",Jan 18 10:30 AM
Cummins Wes,APLD,CEO; Chairman,Jan 17,Buy,2.25,"50,000","112,500","1,600,686",Jan 18 10:18 AM
Starkloff Eric Howard,NATI,President & CEO,Jan 17,Sale,54.40,"1,200","65,280","282,278",Jan 18 10:06 AM
DYE DAVID A,CPSI,Chief Operating Officer,Jan 17,Sale,28.73,400,"11,492","46,800",Jan 18 09:34 AM
Cassens Michael David,BUSE,Director,Jan 17,Sale,24.77,"2,300","56,971","166,983",Jan 18 09:07 AM
Luput Cristian,MAIA,Director,Jan 13,Buy,3.88,504,"1,956","278,572",Jan 18 07:11 AM
Mueller Brian,BMRN,"EVP, Chief Financial Officer",Jan 13,Option Exercise,63.10,"2,500","157,750","30,246",Jan 17 09:57 PM
Mueller Brian,BMRN,"EVP, Chief Financial Officer",Jan 13,Sale,114.50,"2,500","286,250","27,746",Jan 17 09:57 PM
MCPEAK MERRILL A,RSSS,Director,Jan 16,Option Exercise,1.15,"50,000","57,500","284,608",Jan 17 09:52 PM
Cheng Chi Fung,CRDO,Chief Technology Officer,Jan 12,Sale,13.80,"40,000","551,916","760,000",Jan 17 09:48 PM
Cheng Chi Fung,CRDO,Chief Technology Officer,Jan 17,Sale,15.00,"39,200","588,102","11,344,402",Jan 17 09:48 PM
LAMPERT EDWARD S,AN,10% Owner,Jan 12,Sale,116.18,"7,615","884,741","5,587,808",Jan 17 09:30 PM
Lunger John,ADAP,Chief Patient Supply Officer,Jan 17,Sale,1.86,"4,440","8,250","7,264",Jan 17 09:17 PM
Bertrand William C JR,ADAP,Chief Operating Officer,Jan 17,Sale,1.86,"4,440","8,250","7,264",Jan 17 09:17 PM
Norry Elliot,ADAP,Chief Medical Officer,Jan 17,Sale,1.86,"2,159","4,011","3,491",Jan 17 09:16 PM
Rawcliffe Adrian,ADAP,Chief Executive Officer,Jan 17,Sale,1.86,"10,057","18,686","13,351",Jan 17 09:15 PM
Cabral Timothy S,VEEV,Director,Jan 12,Sale,162.29,"4,500","730,294","1,214",Jan 17 09:14 PM
Parker Brett I.,BOWL,Chief Financial Officer,Jan 12,Sale,14.00,"30,000","420,000","2,150,173",Jan 17 09:05 PM
Shannon Thomas F.,BOWL,Chief Executive Officer,Jan 12,Sale,13.76,"492,682","6,779,304","1,692,891",Jan 17 09:05 PM
