Owner,Ticker,Relationship,Date,Transaction Type,Cost per Share,Number of Shares,Value of Transaction in $,Total Number of Shares Outstanding,SEC filing date
Gavini Naveen,PINS,"SVP, Products",Dec 28,Sale,23.04,"4,765","109,790","436,716",Dec 30 09:43 PM
Gavini Naveen,PINS,"SVP, Products",Dec 29,Sale,23.64,"4,765","112,651","431,951",Dec 30 09:43 PM
Gavini Naveen,PINS,"SVP, Products",Dec 30,Sale,23.85,"4,765","113,622","427,186",Dec 30 09:43 PM
Morgenfeld Todd R,PINS,Chief Financial Officer,Dec 28,Sale,23.04,"55,241","1,272,532","641,025",Dec 30 09:37 PM
GINOLA LTD,EMAN,10% Owner,May 02,Sale,0.89,"1,431","1,274",0,Dec 30 09:15 PM
STILLWATER HOLDINGS LLC,EMAN,10% Owner,May 02,Sale,0.89,"1,431","1,274",0,Dec 30 09:15 PM
STILLWATER HOLDINGS LLC,EMAN,10% Owner,Dec 28,Sale,0.80,300,240,"2,810,147",Dec 30 09:15 PM
STILLWATER HOLDINGS LLC,EMAN,10% Owner,Dec 29,Sale,0.80,"5,101","4,096","2,805,046",Dec 30 09:15 PM
MOTT RICHARD W,TMCI,Director,Dec 30,Sale,22.67,"75,000","1,700,422","1,330,000",Dec 30 09:00 PM
Dritschilo Peter,SHPH,President and COO,Dec 29,Sale,1.60,"3,820","6,131","6,560",Dec 30 08:48 PM
Jurich Lynn Michelle,RUN,Director,Dec 28,Option Exercise,5.00,"20,000","100,000","1,460,392",Dec 30 08:38 PM
LOVELAND CURTIS A,RCKY,Assistant Secretary,Dec 29,Option Exercise,18.90,"4,000","75,600","94,416",Dec 30 08:10 PM
Robins Jason,DKNG,See Remarks,Dec 29,Option Exercise,2.64,"1,021,693","2,702,191","5,692,848",Dec 30 08:00 PM
Park Jason,DKNG,Chief Financial Officer,Dec 29,Option Exercise,4.70,"50,000","235,000","474,404",Dec 30 08:00 PM
Reese Jason W.,GEG,Director,Dec 28,Buy,1.95,"75,538","147,299","5,309,037",Dec 30 07:36 PM
Reese Jason W.,GEG,Director,Dec 29,Buy,1.95,"1,370","2,672","5,310,407",Dec 30 07:36 PM
Reese Jason W.,GEG,Director,Dec 30,Buy,2.01,"309,593","622,282","5,620,000",Dec 30 07:36 PM
Yanofsky Theresa,CGC,Director,Dec 28,Sale,2.97,"3,717","11,039","25,137",Dec 30 07:32 PM
Brinton Jon,CXDO,Chief Revenue Officer,Dec 28,Option Exercise,0.00,"25,000",0,"57,824",Dec 30 07:24 PM
Vincent Ron,CXDO,Chief Financial Officer,Dec 28,Option Exercise,0.00,"35,000",0,"86,398",Dec 30 07:16 PM
Flynn James E,ONCR,Possible Member of 10% Group,Dec 28,Sale,0.25,"55,610","13,902","315,455",Dec 30 07:16 PM
Flynn James E,ONCR,Possible Member of 10% Group,Dec 29,Sale,0.26,"141,753","36,856","299,917",Dec 30 07:16 PM
Flynn James E,ONCR,Possible Member of 10% Group,Dec 30,Sale,0.27,"138,872","37,495","284,697",Dec 30 07:16 PM
