,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
0,2023-01-27 07:20:19,2023-01-26,IMVT,"Immunovant, Inc.",Levine Mark S.,GC,S - Sale,$18.51,-10156,245660,-4%,"-$187,988"
1,2023-01-27 07:15:32,2023-01-25,MAIA,"Maia Biotechnology, Inc.",Smith Stan,Dir,P - Purchase,$4.24,236,513564,0%,"+$1,001"
2,2023-01-26 21:30:16,2023-01-20,ALTI,"Alvarium Tiedemann Holdings, Inc.",Yu Peter,"Dir, 10%",P - Purchase,$10.00,25000,6413721,0%,"+$250,000"
3,2023-01-26 21:20:44,2023-01-24,JBL,Jabil Inc,Brooks Martha,Dir,S - Sale,$81.36,-18000,79330,-18%,"-$1,464,480"
4,2023-01-26 21:13:42,2023-01-24,TMCI,"Treace Medical Concepts, Inc.",Bays F Barry,Dir,S - Sale,$25.70,-53643,1337614,-4%,"-$1,378,844"
5,2023-01-26 21:05:11,2023-01-24,BOWL,Bowlero Corp.,Shannon Thomas F.,"CEO, 10%",S - Sale,$14.27,-60568,1156162,-5%,"-$864,305"
6,2023-01-26 21:00:10,2023-01-25,RH,Rh,Krane Hilary K,Dir,S - Sale,$301.51,-137,6252,-2%,"-$41,307"
7,2023-01-26 19:58:34,2023-01-24,SHLS,"Shoals Technologies Group, Inc.",Whitaker Jason R,CEO,S - Sale,$28.27,-24064,507084,-5%,"-$680,270"
8,2023-01-26 19:51:44,2023-01-25,TEAM,Atlassian Corp,Cannon-Brookes Michael,"Co-CEO, Co-Founder, 10%",S - Sale,$148.18,-8614,396244,-2%,"-$1,276,439"
9,2023-01-26 19:48:32,2023-01-25,TEAM,Atlassian Corp,Farquhar Scott,"Co-CEO, Co-Founder, 10%",S - Sale,$148.18,-8614,396244,-2%,"-$1,276,438"
10,2023-01-26 19:41:37,2023-01-24,SGEN,Seagen Inc.,Dansey Roger D,"Pres, R, D, CMO",S - Sale+OE,$135.00,-10000,97539,-9%,"-$1,350,000"
11,2023-01-26 19:39:55,2023-01-24,SGEN,Seagen Inc.,Liu Jean I,GC,S - Sale+OE,$135.03,-5000,85113,-6%,"-$675,134"
12,2023-01-26 19:37:03,2023-01-24,BLZE,"Backblaze, Inc.",Jones Charles J.,10%,S - Sale,$7.31,-6000,204000,-3%,"-$43,860"
13,2023-01-26 19:36:44,2023-01-24,BLZE,"Backblaze, Inc.",Nufire Timothy M,"Dir, 10%",S - Sale,$7.31,-6000,204000,-3%,"-$43,840"
14,2023-01-26 19:36:24,2023-01-24,BLZE,"Backblaze, Inc.",Budman Gleb,"CEO, Chairperson, 10%",S - Sale,$7.31,-6000,204000,-3%,"-$43,860"
15,2023-01-26 19:36:04,2023-01-24,BLZE,"Backblaze, Inc.",Wilson Brian K,10%,S - Sale,$7.31,-6000,204000,-3%,"-$43,840"
16,2023-01-26 19:35:45,2023-01-24,BLZE,"Backblaze, Inc.",Ng Kwok Hang,10%,S - Sale,$7.31,-6000,204000,-3%,"-$43,840"
17,2023-01-26 19:33:45,2023-01-24,BJ,"Bj'S Wholesale Club Holdings, Inc.",Eddy Robert W.,"Pres, CEO",S - Sale,$70.08,-1400,191984,-1%,"-$98,107"
18,2023-01-26 19:12:18,2023-01-24,IOT,Samsara Inc.,Sekar Kiren,See remarks,S - Sale+OE,$13.13,-160416,343781,-32%,"-$2,105,647"
19,2023-01-26 19:07:22,2023-01-24,IOT,Samsara Inc.,Bicket John,"See remarks, 10%",S - Sale+OE,$13.15,-90295,222458,-29%,"-$1,187,106"
20,2023-01-26 19:01:53,2023-01-24,IOT,Samsara Inc.,Biswas Sanjit,"CEO, 10%",S - Sale+OE,$13.15,-89800,731505,-11%,"-$1,180,617"
21,2023-01-26 18:29:56,2023-01-24,TCBI,Texas Capital Bancshares Inc/tx,Stallings Robert W,Dir,P - Purchase,$22.14,6112,277112,+2%,"+$135,338"
22,2023-01-26 18:25:30,2023-01-24,GDDY,Godaddy Inc.,Daddario Nick,Chief Accounting Officer,S - Sale+OE,$82.00,-200,14955,-1%,"-$16,400"
23,2023-01-26 18:16:02,2023-01-24,CCO,"Clear Channel Outdoor Holdings, Inc.",Ares Management LLC,10%,P - Purchase,$1.60,1596000,54205626,+3%,"+$2,553,310"
24,2023-01-26 18:14:28,2023-01-24,CCO,"Clear Channel Outdoor Holdings, Inc.",Ares Management LLC,10%,P - Purchase,$1.60,1596000,54205626,+3%,"+$2,553,310"
25,2023-01-26 18:07:42,2023-01-23,IONM,Assure Holdings Corp.,Parsons Preston T,10%,S - Sale,$0.34,-40000,3894498,-1%,"-$13,600"
26,2023-01-26 18:04:31,2023-01-24,RXRX,"Recursion Pharmaceuticals, Inc.",Borgeson Blake,Dir,S - Sale,$8.71,-8885,7611827,0%,"-$77,368"
27,2023-01-26 18:01:33,2023-01-24,TNET,"Trinet Group, Inc.",Goldfield Burton M.,"Pres, CEO, Dir",S - Sale+OE,$76.00,-6250,520660,-1%,"-$475,009"
28,2023-01-26 18:00:22,2023-01-24,ESAB,Esab Corp,Johnson Kevin J,CFO,S - Sale+OE,$56.22,-1597,4187,-28%,"-$89,783"
29,2023-01-26 17:49:09,2023-01-25,JSPR,"Jasper Therapeutics, Inc.",Roche Holding Ltd,10%,S - Sale,$1.89,-75000,4549606,-2%,"-$141,750"
30,2023-01-26 17:31:29,2023-01-25,AROW,Arrow Financial Corp,Read Colin L,Dir,S - Sale,$32.60,-600,11519,-5%,"-$19,562"
31,2023-01-26 17:28:58,2023-01-25,NWBI,"Northwest Bancshares, Inc.",Reitzes Mark T.,"SEVP, Commercial Banking",P - Purchase,$13.39,2000,53543,+4%,"+$26,770"
32,2023-01-26 17:23:34,2023-01-24,HSAQ,Health Sciences Acquisitions Corp 2,Wong Roderick,"CEO, 10%",P - Purchase,$10.00,1808512,2808512,+181%,"+$18,085,120"
33,2023-01-26 17:23:09,2023-01-26,CMRX,Chimerix Inc,Jakeman David,Principal Accounting Officer,S - Sale,$1.76,-3230,136752,-2%,"-$5,686"
34,2023-01-26 17:23:06,2023-01-24,VYGR,"Voyager Therapeutics, Inc.","Third Rock Ventures Iii, L.P.",10%,S - Sale,$9.25,-150000,5160634,-3%,"-$1,388,000"
35,2023-01-26 17:17:19,2023-01-24,CTIC,Cti Biopharma Corp,Craig Adam R,"Pres, CEO",S - Sale+OE,$6.00,-85317,29440,-74%,"-$511,923"
36,2023-01-26 17:15:03,2023-01-24,XPEL,"Xpel, Inc.",Crumly Richard K.,Dir,S - Sale,$73.29,-16500,1810741,-1%,"-$1,209,280"
37,2023-01-26 17:07:37,2023-01-24,DNA,"Ginkgo Bioworks Holdings, Inc.",Kelly Jason R,See remarks,S - Sale,$1.76,-412742,14947040,-3%,"-$727,441"
38,2023-01-26 17:07:12,2023-01-24,TER,"Teradyne, Inc",Gray Charles Jeffrey,"VP, GC, Secretary",S - Sale+OE,$100.67,-12110,22706,-35%,"-$1,219,058"
39,2023-01-26 17:06:35,2023-01-24,DOMA,"Doma Holdings, Inc.",Simkoff Maxwell,"CEO, 10%",S - Sale,$0.55,-70842,52066648,0%,"-$38,840"
40,2023-01-26 17:06:15,2023-01-24,DNA,"Ginkgo Bioworks Holdings, Inc.",Canton Barry,10%,S - Sale,$1.77,-663134,31030565,-2%,"-$1,174,058"
41,2023-01-26 17:06:13,2023-01-25,DHR,Danaher Corp /de/,Stevens Raymond C,Dir,S - Sale+OE,$264.27,-8410,8394,-50%,"-$2,222,514"
42,2023-01-26 17:04:24,2023-01-24,DNA,"Ginkgo Bioworks Holdings, Inc.",Shetty Reshma P.,"See remarks, 10%",S - Sale,$1.77,-663134,31030565,-2%,"-$1,174,058"
43,2023-01-26 17:04:01,2023-01-25,KMI,"Kinder Morgan, Inc.",Schlosser John W,"VP (Pres, Terminals)",S - Sale,$18.44,-1500,19719,-7%,"-$27,660"
44,2023-01-26 17:01:53,2023-01-25,ADBE,Adobe Inc.,Garfield Mark S.,"SVP, CAO",S - Sale+OE,$355.42,-209,3479,-6%,"-$74,283"
45,2023-01-26 16:59:53,2023-01-25,ADBE,Adobe Inc.,Belsky Scott,"EVP, CPO, Creative Cloud",S - Sale+OE,$355.42,-2906,26475,-10%,"-$1,032,851"
46,2023-01-26 16:58:38,2022-12-05,STEL,"Stellar Bancorp, Inc.",Martinez George,Dir,S - Sale,$30.76,-58112,304384,-16%,"-$1,787,613"
47,2023-01-26 16:52:37,2023-01-24,JBL,Jabil Inc,Katz Robert L,"EVP, CLO, Asst Corp Secretary",S - Sale,$80.00,-5222,102822,-5%,"-$417,760"
48,2023-01-26 16:49:57,2023-01-24,CTIC,Cti Biopharma Corp,Fong James K,"EVP, Chief Commercial Officer",S - Sale+OE,$6.00,-100000,3565,-97%,"-$600,000"
49,2023-01-26 16:46:12,2023-01-26,TRST,Trustco Bank Corp N Y,Ozimek Michael M,"EVP, CFO",P - Purchase,$33.15,1000,11177,+10%,"+$33,150"
50,2023-01-26 16:43:51,2023-01-24,PRT,Permrock Royalty Trust,"Boaz Energy Ii, LLC",10%,S - Sale,$7.72,-16000,5395873,0%,"-$123,580"
51,2023-01-26 16:43:25,2023-01-24,BSY,Bentley Systems Inc,Bentley Gregory S,"COB, CEO, Pres, 10%",S - Sale,$38.05,-63634,8514484,-1%,"-$2,421,089"
52,2023-01-26 16:30:31,2023-01-24,MICS,Singing Machine Co Inc,"Ault Alliance, Inc.",10%,P - Purchase,$4.76,400,1805600,0%,"+$1,904"
53,2023-01-26 16:30:21,2023-01-24,UTHR,United Therapeutics Corp,Rothblatt Martine A,"Chairperson, CEO",S - Sale+OE,$261.88,-16000,644479,-2%,"-$4,190,116"
54,2023-01-26 16:27:30,2023-01-24,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,COB,S - Sale,$78.78,-40000,1670605,-2%,"-$3,151,240"
55,2023-01-26 16:26:27,2023-01-24,EXTR,Extreme Networks Inc,Vitalone Joseph A,Chief Revenue Officer,S - Sale,$19.14,-19854,45090,-31%,"-$380,045"
56,2023-01-26 16:24:11,2023-01-24,PTCT,"Ptc Therapeutics, Inc.",Peltz Stuart Walter,CEO,S - Sale,$47.45,-284,55204,-1%,"-$13,476"
57,2023-01-26 16:23:27,2023-01-26,SKYT,"Skywater Technology, Inc",Zibrowski Bart L,10%,S - Sale,$9.50,-11187,5132040,0%,"-$106,277"
58,2023-01-26 16:23:09,2023-01-24,PTCT,"Ptc Therapeutics, Inc.",Pauwels Eric,Chief Business Officer,S - Sale,$47.45,-359,65912,-1%,"-$17,035"
59,2023-01-26 16:21:33,2023-01-24,PTCT,"Ptc Therapeutics, Inc.",Hill Emily Luisa,CFO,S - Sale,$47.45,-223,46863,0%,"-$10,582"
60,2023-01-26 16:21:31,2023-01-24,HTBI,"Hometrust Bancshares, Inc.",Vuncannon Tony J.,"EVP, CFO, Treasurer",S - Sale+OE,$25.29,-13704,83832,-14%,"-$346,586"
61,2023-01-26 16:21:01,2023-01-24,HTBI,"Hometrust Bancshares, Inc.",Westbrook Hunter,"Pres, CEO",S - Sale+OE,$25.29,-32500,68570,-32%,"-$821,833"
62,2023-01-26 16:20:37,2023-01-24,PTCT,"Ptc Therapeutics, Inc.",Almstead Neil Gregory,Chief Technical Ops Officer,S - Sale,$47.45,-44,3287,-1%,"-$2,088"
63,2023-01-26 16:18:30,2023-01-24,COIN,"Coinbase Global, Inc.",Lutke Tobias,Dir,P - Purchase,$54.38,6612,197804,+3%,"+$359,561"
64,2023-01-26 16:18:00,2023-01-24,HUBS,Hubspot Inc,Shah Dharmesh,CTO,S - Sale,$350.79,-14719,1506697,-1%,"-$5,163,270"
65,2023-01-26 16:17:12,2023-01-24,ALSN,Allison Transmission Holdings Inc,Scroggins Eric C.,"VP, Gen. Counsel, Secretary",S - Sale,$44.00,-4545,12262,-27%,"-$199,980"
66,2023-01-26 16:16:05,2023-01-24,BANC,"Banc of California, Inc.",Barker James Andrew,Dir,P - Purchase,$16.53,48435,145057,+50%,"+$800,830"
67,2023-01-26 16:12:10,2023-01-24,BWMN,Bowman Consulting Group Ltd.,Bruen Michael,COO,S - Sale,$23.37,-6500,492283,-1%,"-$151,892"
68,2023-01-26 16:12:02,2022-02-28,JAKK,Jakks Pacific Inc,Rosen Lawrence I,10%,P - Purchase,$15.43,68958,1845785,+4%,"+$1,064,022"
69,2023-01-26 16:11:58,2023-01-25,RXRX,"Recursion Pharmaceuticals, Inc.",Mubadala Investment Co Pjsc,10%,P - Purchase,$7.88,24526,19409127,0%,"+$193,267"
70,2023-01-26 16:11:09,2022-02-15,JAKK,Jakks Pacific Inc,Rosen Lawrence I,10%,P - Purchase,$13.33,22664,1747606,+1%,"+$302,111"
71,2023-01-26 16:10:36,2021-06-24,JAKK,Jakks Pacific Inc,Rosen Lawrence I,10%,P - Purchase,$12.53,125213,1005919,+14%,"+$1,568,894"
72,2023-01-26 16:10:36,2021-10-08,JAKK,Jakks Pacific Inc,Rosen Lawrence I,10%,S - Sale,$12.06,-5000,1005919,0%,"-$60,300"
73,2023-01-26 16:10:34,2023-01-26,CRNC,Cerence Inc.,Kathpal Prateek,"EVP, CTO",S - Sale,$23.26,-2209,210718,-1%,"-$51,381"
